Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
257.0744__43.06,10146940.43725,10227300.16733,10681756.08711,10898716.80917,11354769.94125,11240648.18013,8298658.02853,8801913.30519,8612569.76776,7961492.02797,7210587.11864,6447381.07104,403240.81407,674429.45324,119113.15178,136538.00516,177336.95659,287893.60636,9536958.43385,8809569.97397,8625389.4728,9529688.85424,6808194.50922,6986629.48745
257.1472__40.16,35490494.15855,13089614.11602,6378790.35927,42112399.35109,31178915.1204,24673981.04013,28146547.60605,29392357.56418,28490202.293,29273076.59617,28150206.7361,28388841.18807,62430015.41607,22050178.88559,11862505.7986,51694203.99205,63005474.73914,50584539.87947,17146210.19456,2685313.91846,5009671.86006,14345802.75224,6982101.76709,11011393.09305
258.8177__38.19,3221070.45869,2603469.86274,2853839.76313,3205694.81066,3520567.63254,2643693.85951,4594079.95467,4704781.76935,4350644.65078,4607281.65509,4472058.17169,4723762.26307,31558849.00035,30771696.28682,33499232.66717,29284174.55975,30787417.36411,32329775.36323,2754756.41864,2708175.56998,2956302.21054,2932216.71039,2933381.84986,2523996.51729
258.9782__39.66,736695.64814,1195667.53242,959454.22476,842743.6021,850642.00397,1132680.19978,974926.51566,993721.03086,918929.08847,986724.0887,840443.7603,943478.99557,871558.39771,1025142.51525,676675.96009,1024550.23981,1302402.912,1189029.26331,1500073.0914,1220123.69584,1072662.95929,1129564.87124,1267981.82855,1068664.154
260.1968__44.27,12264.69719,NA,NA,48849.83347,26747.25517,NA,6103809.15557,6027984.30062,6084586.12862,5953976.0607,3124199.59185,6268007.75592,NA,NA,11638.67626,1746008.47863,NA,NA,13766798.34716,30018978.58555,15851887.46442,14156406.53478,7845380.91553,11866991.11108
260.1969__74.77,5328.8559,NA,NA,NA,4240.43621,NA,3749077.45009,5531675.70928,3871078.13632,5789891.12288,3870947.16398,5819320.02247,NA,3707.58918,8233.38196,1574829.75144,4150.64632,NA,12758431.35972,17361416.33817,14278210.3411,8325078.73723,7704154.68231,10980828.98003
260.8149__38.16,569230.35523,485655.18194,582863.8036,605126.74789,584240.85683,692063.20722,891498.08289,911119.8596,572274.29236,528714.20003,640932.36259,876808.0194,6866776.82546,6778670.35817,6933300.96412,6374139.68141,6086581.04263,6835376.70179,433161.84509,924560.82844,917075.91613,874876.9892,832760.5396,613708.55952
261.0458__43.4,508024.87095,569055.95876,3754257.18358,487914.11911,363995.82064,3785086.62049,2718299.29864,489331.93548,340280.09061,2396957.76398,506484.67645,563439.67386,744865.1071,3329690.76949,760484.57206,778435.98714,860905.34317,853679.64011,1750620.78999,1157012.57577,1682103.64998,2086782.30846,1844966.93101,1977724.15004
262.038__58.36,206078.91427,126935.50004,167095.43301,166786.57896,161031.04297,238388.27271,157783.20181,170008.11202,226457.28292,179134.60005,157319.38573,157971.5484,273311.17567,177967.27537,190826.02972,171574.89675,192929.98063,156677.55044,101064.222,24779.26787,71670.84418,40334.14291,120777.92037,63700.93188
262.1649__50.45,2452618.599,1765350.58518,2009854.1059,1963474.06093,2069688.1645,1923184.15396,8514643.73967,8400592.49418,9085854.22858,8925482.31536,9007465.05893,9354938.7116,1556563.81857,1158435.73318,1412702.37264,1602939.88253,990337.10714,1873809.62195,24976415.41036,10285581.05203,25071345.3341,30563781.92333,13241930.66319,22704061.14231
262.165__81.17,948319.61611,1173148.31795,896700.98372,831086.78928,975452.77111,996972.48494,5445716.91704,4938382.83724,5299472.21781,4490045.0365,4405995.99971,4990533.31961,869231.0651,615820.57691,927616.22691,798426.87859,638554.89377,882259.05742,12353924.82089,7077771.48255,11967987.88872,1049674.23504,7485882.22464,11393225.76719
262.2013__87.01,1478851.643,1615696.29934,2525977.16337,3725015.57738,709184.42932,730021.1584,8767389.22313,8894398.23469,5207668.08466,8995069.39114,9555508.0965,9467313.53533,5854115.45968,4652920.74743,3095510.57761,334339.829,4997931.3777,3560291.23685,167977.22251,1399573.1599,273042.20274,1267008.23955,1181434.62179,9130595.18818
